Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Lawrence of Arabia,8.3,313K,"July 30, 2016 (India)","$15,000,000 (estimated)",US & Canada,$45306425,US & Canada,$20846,Sep 22 2002,"$45,744,187"
The Apartment,8.3,196K,"June 29, 1960 (Canada)","$3,000,000 (estimated)",US & Canada,$18600000,US & Canada,Not Found,Not Found,"$18,778,738"
North by Northwest,8.3,345K,"December 18, 1959 (United States)","$3,101,000 (estimated)",US & Canada,$66728,US & Canada,Not Found,Not Found,"$149,561"
Citizen Kane,8.3,465K,"October 13, 2020 (India)","$839,727 (estimated)",US & Canada,$1627530,US & Canada,Not Found,Not Found,"$1,702,325"
Vertigo,8.3,426K,"October 30, 2014 (India)","$2,479,000 (estimated)",US & Canada,$7705225,US & Canada,$252880,Mar 18 2018,"$7,804,803"
M - Eine Stadt sucht einen Mörder,8.3,168K,"August 31, 1931 (Sweden)",Not Found,US & Canada,$35566,US & Canada,$6123,Mar 17 2013,"$35,566"
Incendies,8.3,198K,"September 12, 2020 (India)","$6,800,000 (estimated)",US & Canada,$2071334,US & Canada,$50679,Apr 24 2011,"$6,797,861"
Double Indemnity,8.3,167K,"July 6, 1944 (United States)","$927,262 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$19,324"
Scarface,8.3,913K,1990 (India),"$25,000,000 (estimated)",US & Canada,$45967303,US & Canada,$4597536,Dec 11 1983,"$66,443,303"
Le fabuleux destin d'Amélie Poulain,8.3,793K,"April 25, 2001 (France)","$10,000,000 (estimated)",US & Canada,$33711390,US & Canada,$136470,Nov 4 2001,"$174,918,005"
Full Metal Jacket,8.3,788K,"July 10, 1987 (United States)","$30,000,000 (estimated)",US & Canada,$46357676,US & Canada,$2217307,Jun 28 1987,"$46,361,894"
A Clockwork Orange,8.3,879K,"October 4, 2017 (India)","$2,200,000 (estimated)",US & Canada,$26617553,US & Canada,Not Found,Not Found,"$27,023,100"
Heat,8.3,717K,"December 15, 1995 (United States)","$60,000,000 (estimated)",US & Canada,$67436818,US & Canada,$8445656,Dec 17 1995,"$187,436,818"
